TrainNo,TrainName,TrainType,BlockNo,IB,ETANS,ETADS,CurrentSpeed,DFNS,CurrentDelay,DwellTime,BlockLen,ApproachingBlockNo,AdvanceBlockNo,RunningStatus,HaltStation,PFNo
MEDICAL1,Sanjeevani Medical Express,Medical,13,TRUE,2023-09-10 10:07:00,2023-09-10 07:39:00,0,17.1,22.5,300,486,12,14,TRUE,Dayabasti,3
MEDICAL1,Sanjeevani Medical Express,Medical,18,FALSE,2023-09-10 06:18:00,2023-09-10 06:49:00,85,27.2,5.0,0,607,17,19,TRUE,NA,NA
22345,Old Delhi Passenger,Passenger,25,FALSE,2023-09-10 09:53:00,2023-09-10 09:37:00,48,16.9,27.8,0,1964,24,0,TRUE,NA,NA
99999,Kirti Nagar Express,Express,13,FALSE,2023-09-10 06:46:00,2023-09-10 06:45:00,50,31.3,2.4,0,1802,12,14,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,23,FALSE,2023-09-10 06:01:00,2023-09-10 08:16:00,42,41.1,29.0,0,1612,22,24,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,19,TRUE,2023-09-10 07:08:00,2023-09-10 09:21:00,0,41.1,9.6,0,2042,18,20,TRUE,NA,NA
ARMY12,Army Supply Special,Military,3,FALSE,2023-09-10 07:18:00,2023-09-10 09:00:00,73,5.0,3.8,0,424,2,4,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,25,FALSE,2023-09-10 07:13:00,2023-09-10 08:46:00,59,1.8,12.7,0,1229,24,0,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,17,FALSE,2023-09-10 09:35:00,2023-09-10 07:00:00,53,8.2,21.7,0,1688,16,18,TRUE,NA,NA
ARMY12,Army Supply Special,Military,19,TRUE,2023-09-10 10:54:00,2023-09-10 07:38:00,0,14.3,43.9,0,483,18,20,TRUE,NA,NA
ARMY12,Army Supply Special,Military,1,FALSE,2023-09-10 10:11:00,2023-09-10 08:36:00,95,46.6,5.9,0,1881,0,2,TRUE,NA,NA
11223,Capital Express,Express,16,FALSE,2023-09-10 06:40:00,2023-09-10 09:09:00,83,26.4,7.7,0,586,15,17,FALSE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,20,FALSE,2023-09-10 10:17:00,2023-09-10 07:53:00,87,30.7,39.6,0,925,19,21,TRUE,NA,NA
99999,Kirti Nagar Express,Express,15,FALSE,2023-09-10 08:20:00,2023-09-10 07:39:00,42,1.7,39.9,0,800,14,16,TRUE,NA,NA
76543,Gurugram SF 2,Superfast,7,FALSE,2023-09-10 06:39:00,2023-09-10 06:30:00,64,1.0,31.6,0,2053,6,8,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,18,FALSE,2023-09-10 07:42:00,2023-09-10 07:32:00,42,42.3,2.0,0,685,17,19,TRUE,NA,NA
11223,Capital Express,Express,24,FALSE,2023-09-10 07:20:00,2023-09-10 09:34:00,89,37.3,27.2,0,919,23,25,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,25,FALSE,2023-09-10 09:42:00,2023-09-10 10:54:00,44,47.1,12.7,0,2385,24,0,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,1,FALSE,2023-09-10 10:24:00,2023-09-10 09:20:00,76,11.4,14.3,0,727,0,2,TRUE,NA,NA
99999,Kirti Nagar Express,Express,6,FALSE,2023-09-10 08:23:00,2023-09-10 07:22:00,102,14.9,8.6,0,976,5,7,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,5,TRUE,2023-09-10 07:14:00,2023-09-10 08:05:00,0,27.2,3.0,132,1947,4,6,TRUE,Gurugram,3
14789,Dayabasti Local,Passenger,18,FALSE,2023-09-10 09:44:00,2023-09-10 07:44:00,100,11.0,12.5,0,913,17,19,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,4,TRUE,2023-09-10 08:39:00,2023-09-10 06:12:00,0,34.0,33.8,233,1358,3,5,TRUE,Gurugram,4
ARMY24,Army Special,Military,15,FALSE,2023-09-10 09:12:00,2023-09-10 10:11:00,64,39.1,36.9,0,1279,14,16,FALSE,NA,NA
ARMY12,Army Supply Special,Military,24,FALSE,2023-09-10 08:58:00,2023-09-10 08:09:00,94,25.9,15.5,0,2463,23,25,TRUE,NA,NA
ARMY24,Army Special,Military,9,FALSE,2023-09-10 08:47:00,2023-09-10 07:06:00,75,10.1,1.8,0,941,8,10,FALSE,NA,NA
99999,Kirti Nagar Express,Express,16,FALSE,2023-09-10 10:29:00,2023-09-10 08:42:00,91,39.4,39.3,0,2260,15,17,TRUE,NA,NA
ARMY24,Army Special,Military,7,FALSE,2023-09-10 09:46:00,2023-09-10 07:25:00,53,28.3,8.4,0,2177,6,8,FALSE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,15,FALSE,2023-09-10 10:23:00,2023-09-10 06:23:00,81,25.8,11.3,0,2445,14,16,TRUE,NA,NA
14789,Dayabasti Local,Passenger,11,FALSE,2023-09-10 07:38:00,2023-09-10 07:45:00,107,20.3,28.3,0,2340,10,12,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,21,FALSE,2023-09-10 06:41:00,2023-09-10 10:22:00,91,30.2,1.3,0,1143,20,22,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,2,FALSE,2023-09-10 10:52:00,2023-09-10 08:03:00,110,29.5,10.7,0,2183,1,3,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,24,FALSE,2023-09-10 07:35:00,2023-09-10 06:58:00,79,7.5,15.2,0,544,23,25,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,5,FALSE,2023-09-10 07:57:00,2023-09-10 08:54:00,87,25.7,25.1,0,1929,4,6,TRUE,NA,NA
ARMY24,Army Special,Military,19,FALSE,2023-09-10 07:05:00,2023-09-10 06:12:00,64,47.6,30.3,0,2483,18,20,FALSE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,9,FALSE,2023-09-10 08:59:00,2023-09-10 08:30:00,52,44.8,5.0,0,1340,8,10,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,18,FALSE,2023-09-10 09:04:00,2023-09-10 10:59:00,67,12.4,29.7,0,446,17,19,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,16,FALSE,2023-09-10 10:17:00,2023-09-10 10:59:00,82,35.4,27.3,0,531,15,17,TRUE,NA,NA
ARMY24,Army Special,Military,13,TRUE,2023-09-10 09:45:00,2023-09-10 10:33:00,0,5.7,12.9,249,620,12,14,FALSE,Dayabasti,6
12015,Gurugram Superfast,Superfast,9,FALSE,2023-09-10 09:31:00,2023-09-10 06:26:00,64,19.9,31.0,0,521,8,10,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,22,FALSE,2023-09-10 06:50:00,2023-09-10 10:37:00,91,47.3,22.7,0,1382,21,23,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,6,FALSE,2023-09-10 08:10:00,2023-09-10 10:19:00,88,32.4,21.2,0,814,5,7,TRUE,NA,NA
