TrainNo,TrainName,TrainType,BlockNo,IB,ETANS,ETADS,CurrentSpeed,DFNS,CurrentDelay,DwellTime,BlockLen,ApproachingBlockNo,AdvanceBlockNo,RunningStatus,HaltStation,PFNo
MEDICAL1,Sanjeevani Medical Express,Medical,13,True,2023-09-10 10:12:00,2023-09-10 10:12:00,0,17.1,22.5,300,486,12,14,True,Dayabasti,3.0
MEDICAL1,Sanjeevani Medical Express,Medical,18,False,2023-09-10 06:18:25,2023-09-10 06:18:51,85,27.2,5.0,0,607,17,19,True,,
22345,Old Delhi Passenger,Passenger,25,False,2023-09-10 09:55:27,2023-09-10 09:57:54,48,16.9,27.8,0,1964,24,0,True,,
99999,Kirti Nagar Express,Express,13,False,2023-09-10 06:48:09,2023-09-10 06:50:19,50,31.3,2.4,0,1802,12,14,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,23,False,2023-09-10 06:03:18,2023-09-10 06:05:36,42,41.1,29.0,0,1612,22,24,True,,
98765,Kirti-Sarai Passenger,Passenger,19,True,2023-09-10 07:08:00,2023-09-10 07:08:00,0,41.1,9.6,0,2042,18,20,True,,
ARMY12,Army Supply Special,Military,3,False,2023-09-10 07:18:20,2023-09-10 07:18:41,73,5.0,3.8,0,424,2,4,True,,
12016,Delhi Sarai Rohilla Express,Express,25,False,2023-09-10 07:14:14,2023-09-10 07:15:29,59,1.8,12.7,0,1229,24,0,True,,
98765,Kirti-Sarai Passenger,Passenger,17,False,2023-09-10 09:36:54,2023-09-10 09:38:49,53,8.2,21.7,0,1688,16,18,True,,
ARMY12,Army Supply Special,Military,19,True,2023-09-10 10:54:00,2023-09-10 10:54:00,0,14.3,43.9,0,483,18,20,True,,
ARMY12,Army Supply Special,Military,1,False,2023-09-10 10:12:11,2023-09-10 10:13:22,95,46.6,5.9,0,1881,0,2,True,,
11223,Capital Express,Express,16,False,2023-09-10 06:40:25,2023-09-10 06:40:50,83,26.4,7.7,0,586,15,17,False,,
12016,Delhi Sarai Rohilla Express,Express,20,False,2023-09-10 10:17:38,2023-09-10 10:18:16,87,30.7,39.6,0,925,19,21,True,,
99999,Kirti Nagar Express,Express,15,False,2023-09-10 08:21:08,2023-09-10 08:22:17,42,1.7,39.9,0,800,14,16,True,,
76543,Gurugram SF 2,Superfast,7,False,2023-09-10 06:40:55,2023-09-10 06:42:50,64,1.0,31.6,0,2053,6,8,True,,
12016,Delhi Sarai Rohilla Express,Express,18,False,2023-09-10 07:42:58,2023-09-10 07:43:57,42,42.3,2.0,0,685,17,19,True,,
11223,Capital Express,Express,24,False,2023-09-10 07:20:37,2023-09-10 07:21:14,89,37.3,27.2,0,919,23,25,False,,
76543,Gurugram SF 2,Superfast,25,False,2023-09-10 09:45:15,2023-09-10 09:48:30,44,47.1,12.7,0,2385,24,0,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,1,False,2023-09-10 10:24:34,2023-09-10 10:25:08,76,11.4,14.3,0,727,0,2,True,,
99999,Kirti Nagar Express,Express,6,False,2023-09-10 08:23:34,2023-09-10 08:24:08,102,14.9,8.6,0,976,5,7,True,,
98765,Kirti-Sarai Passenger,Passenger,5,True,2023-09-10 07:16:12,2023-09-10 07:16:12,0,27.2,3.0,132,1947,4,6,True,Gurugram,3.0
14789,Dayabasti Local,Passenger,18,False,2023-09-10 09:44:32,2023-09-10 09:45:05,100,11.0,12.5,0,913,17,19,True,,
12016,Delhi Sarai Rohilla Express,Express,4,True,2023-09-10 08:42:52,2023-09-10 08:42:52,0,34.0,33.8,233,1358,3,5,True,Gurugram,4.0
ARMY24,Army Special,Military,15,False,2023-09-10 09:13:11,2023-09-10 09:14:23,64,39.1,36.9,0,1279,14,16,False,,
ARMY12,Army Supply Special,Military,24,False,2023-09-10 08:59:34,2023-09-10 09:01:08,94,25.9,15.5,0,2463,23,25,True,,
ARMY24,Army Special,Military,9,False,2023-09-10 08:47:45,2023-09-10 08:48:30,75,10.1,1.8,0,941,8,10,False,,
99999,Kirti Nagar Express,Express,16,False,2023-09-10 10:30:29,2023-09-10 10:31:58,91,39.4,39.3,0,2260,15,17,True,,
ARMY24,Army Special,Military,7,False,2023-09-10 09:48:27,2023-09-10 09:50:55,53,28.3,8.4,0,2177,6,8,False,,
MEDICAL1,Sanjeevani Medical Express,Medical,15,False,2023-09-10 10:24:48,2023-09-10 10:26:37,81,25.8,11.3,0,2445,14,16,True,,
14789,Dayabasti Local,Passenger,11,False,2023-09-10 07:39:18,2023-09-10 07:40:37,107,20.3,28.3,0,2340,10,12,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,21,False,2023-09-10 06:41:45,2023-09-10 06:42:30,91,30.2,1.3,0,1143,20,22,True,,
12016,Delhi Sarai Rohilla Express,Express,2,False,2023-09-10 10:53:11,2023-09-10 10:54:22,110,29.5,10.7,0,2183,1,3,True,,
12016,Delhi Sarai Rohilla Express,Express,24,False,2023-09-10 07:35:24,2023-09-10 07:35:49,79,7.5,15.2,0,544,23,25,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,5,False,2023-09-10 07:58:19,2023-09-10 07:59:39,87,25.7,25.1,0,1929,4,6,True,,
ARMY24,Army Special,Military,19,False,2023-09-10 07:07:19,2023-09-10 07:09:39,64,47.6,30.3,0,2483,18,20,False,,
98765,Kirti-Sarai Passenger,Passenger,9,False,2023-09-10 09:00:32,2023-09-10 09:02:05,52,44.8,5.0,0,1340,8,10,True,,
14567,Patel Nagar Passenger,Passenger,18,False,2023-09-10 09:04:23,2023-09-10 09:04:47,67,12.4,29.7,0,446,17,19,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,16,False,2023-09-10 10:17:23,2023-09-10 10:17:46,82,35.4,27.3,0,531,15,17,True,,
ARMY24,Army Special,Military,13,True,2023-09-10 09:49:09,2023-09-10 09:49:09,0,5.7,12.9,249,620,12,14,False,Dayabasti,6.0
12015,Gurugram Superfast,Superfast,9,False,2023-09-10 09:31:29,2023-09-10 09:31:58,64,19.9,31.0,0,521,8,10,True,,
14567,Patel Nagar Passenger,Passenger,22,False,2023-09-10 06:50:54,2023-09-10 06:51:49,91,47.3,22.7,0,1382,21,23,True,,
12016,Delhi Sarai Rohilla Express,Express,6,False,2023-09-10 08:10:33,2023-09-10 08:11:06,88,32.4,21.2,0,814,5,7,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,14,False,2023-09-10 07:03:59,2023-09-10 07:04:59,46,18.1,21.3,0,765,13,15,True,,
14789,Dayabasti Local,Passenger,3,False,2023-09-10 09:43:03,2023-09-10 09:44:06,100,16.8,4.2,0,1753,2,4,True,,
99999,Kirti Nagar Express,Express,6,False,2023-09-10 06:48:23,2023-09-10 06:50:46,44,40.7,29.3,0,1750,5,7,True,,
76543,Gurugram SF 2,Superfast,9,True,2023-09-10 08:16:34,2023-09-10 08:16:34,0,34.3,36.8,275,1848,8,10,True,Kirti Nagar,2.0
MEDICAL2,Lifeline Express,Medical,11,False,2023-09-10 06:06:12,2023-09-10 06:07:24,83,8.4,15.6,0,1670,10,12,True,,
12016,Delhi Sarai Rohilla Express,Express,24,True,2023-09-10 08:46:13,2023-09-10 08:46:13,0,31.7,26.9,73,1138,23,25,True,Delhi Sarai Rohilla,4.0
12016,Delhi Sarai Rohilla Express,Express,11,False,2023-09-10 06:48:20,2023-09-10 06:50:40,50,42.0,20.5,0,1951,10,12,True,,
11223,Capital Express,Express,19,False,2023-09-10 08:32:03,2023-09-10 08:33:07,89,39.5,0.3,0,1576,18,20,False,,
76543,Gurugram SF 2,Superfast,17,True,2023-09-10 07:40:13,2023-09-10 07:40:13,0,29.7,14.3,253,1820,16,18,True,Shakur Basti,4.0
12016,Delhi Sarai Rohilla Express,Express,3,False,2023-09-10 09:43:32,2023-09-10 09:44:05,106,39.1,26.6,0,966,2,4,True,,
11223,Capital Express,Express,16,False,2023-09-10 09:37:37,2023-09-10 09:40:15,41,18.2,37.8,0,1794,15,17,False,,
MEDICAL2,Lifeline Express,Medical,17,False,2023-09-10 09:07:42,2023-09-10 09:08:25,108,14.1,7.8,0,1285,16,18,True,,
ARMY24,Army Special,Military,21,True,2023-09-10 09:04:03,2023-09-10 09:04:03,0,9.1,27.9,123,1811,20,22,False,Delhi Sarai Rohilla,1.0
14567,Patel Nagar Passenger,Passenger,10,False,2023-09-10 08:21:22,2023-09-10 08:22:45,47,1.3,30.1,0,1078,9,11,True,,
12015,Gurugram Superfast,Superfast,21,False,2023-09-10 10:44:56,2023-09-10 10:45:53,91,11.5,12.0,0,1434,20,22,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,21,False,2023-09-10 06:25:59,2023-09-10 06:27:59,46,42.0,10.9,0,1527,20,22,True,,
14789,Dayabasti Local,Passenger,12,True,2023-09-10 10:55:54,2023-09-10 10:55:54,0,36.0,35.9,114,1763,11,13,True,Patel Nagar,2.0
