Train_type,Train_name,Train_no,block_no,IB(boolean),ETA_NS,ETA_DS,current_speed,DFNS,current delay,dwell time,time_delay,block_len,Approaching_block_no,advance_block_no,running_status(bool),halt_station,PF_no,Station_name,Total_platforms,free_platforms,starter_signal,home_signal,block_type,block_status,adv_starter_signal(bool)
Superfast,Train_14939,14939,126,False,2025-09-11 10:12:00,2025-09-11 12:09:00,48,13.69,0,34,41,2190,127,131,True,STN_14,4,STN_14,6,3,False,False,Yard,Under_Maintenance,False
Express,Train_20751,20751,48,False,2025-09-11 10:01:00,2025-09-11 11:36:00,74,5.12,28,65,23,1307,49,50,False,STN_42,4,STN_42,6,3,True,False,Yard,Under_Maintenance,False
Passenger,Train_12745,12745,12,False,2025-09-11 10:20:00,2025-09-11 12:45:00,62,6.14,43,169,29,1736,13,15,False,STN_8,2,STN_8,6,2,False,False,Main,Occupied,True
Vande Bharat,Train_14068,14068,69,True,2025-09-11 10:00:00,2025-09-11 12:13:00,49,7.18,0,30,48,2100,70,70,False,STN_10,1,STN_10,5,3,True,True,Main,Free,True
Passenger,Train_13680,13680,172,False,2025-09-11 10:17:00,2025-09-11 12:25:00,56,11.92,69,153,26,1951,173,177,False,STN_24,4,STN_24,12,10,False,False,Loop,Under_Maintenance,True
Rajdhani,Train_19690,19690,142,True,2025-09-11 10:27:00,2025-09-11 11:59:00,30,10.02,30,106,52,1425,143,147,False,STN_30,7,STN_30,8,7,True,False,Main,Free,True
Express,Train_17582,17582,138,False,2025-09-11 10:06:00,2025-09-11 12:53:00,66,4.75,77,24,56,1788,139,140,True,STN_5,8,STN_5,12,11,True,False,Loop,Occupied,True
Rajdhani,Train_16136,16136,77,True,2025-09-11 10:10:00,2025-09-11 14:39:00,46,0.23,32,89,57,1347,78,78,True,STN_47,2,STN_47,4,4,True,True,Main,Under_Maintenance,True
Rajdhani,Train_13070,13070,31,False,2025-09-11 10:07:00,2025-09-11 13:49:00,34,1.74,0,89,60,2063,32,33,False,STN_15,4,STN_15,9,4,False,False,Yard,Occupied,True
Shatabdi,Train_13213,13213,50,True,2025-09-11 10:38:00,2025-09-11 13:41:00,69,7.93,0,89,27,951,51,51,True,STN_50,6,STN_50,6,2,True,False,Loop,Occupied,True
Express,Train_14485,14485,112,True,2025-09-11 10:46:00,2025-09-11 13:23:00,68,13.04,91,71,9,1966,113,117,False,STN_24,5,STN_24,12,10,False,False,Loop,Occupied,True
Express,Train_13395,13395,82,True,2025-09-11 10:08:00,2025-09-11 10:20:00,37,4.12,0,91,24,1198,83,87,True,STN_13,2,STN_13,3,2,False,False,Loop,Occupied,False
Rajdhani,Train_21143,21143,142,False,2025-09-11 10:02:00,2025-09-11 11:08:00,67,7.99,1,99,33,1186,143,146,True,STN_4,1,STN_4,3,1,False,False,Main,Free,True
Rajdhani,Train_20561,20561,180,False,2025-09-11 10:21:00,2025-09-11 13:34:00,90,2.58,0,31,26,2149,181,182,False,STN_50,2,STN_50,6,2,True,False,Main,Free,True
Superfast,Train_19253,19253,146,True,2025-09-11 10:47:00,2025-09-11 12:27:00,64,26.47,0,52,36,1959,147,147,False,STN_20,5,STN_20,10,10,True,True,Loop,Free,True
Shatabdi,Train_17003,17003,138,False,2025-09-11 10:01:00,2025-09-11 11:22:00,47,8.29,36,61,16,984,139,142,True,STN_27,11,STN_27,11,6,False,True,Loop,Occupied,True
Vande Bharat,Train_21988,21988,125,False,2025-09-11 10:02:00,2025-09-11 13:02:00,71,3.66,0,66,11,2616,126,128,True,STN_23,4,STN_23,7,1,True,False,Yard,Occupied,True
Vande Bharat,Train_15404,15404,37,False,2025-09-11 10:14:00,2025-09-11 13:45:00,53,11.8,0,55,25,2535,38,40,True,STN_16,2,STN_16,4,3,True,True,Main,Occupied,True
Vande Bharat,Train_16335,16335,13,False,2025-09-11 10:32:00,2025-09-11 11:17:00,63,4.38,0,36,57,2050,14,16,True,STN_28,1,STN_28,11,10,False,True,Main,Occupied,True
Express,Train_14573,14573,87,False,2025-09-11 10:00:00,2025-09-11 13:12:00,50,10.67,10,47,17,1407,88,91,True,STN_17,2,STN_17,8,3,True,True,Main,Occupied,True
Passenger,Train_21043,21043,59,True,2025-09-11 10:39:00,2025-09-11 11:32:00,50,23.43,7,92,47,1474,60,63,True,STN_5,6,STN_5,12,11,True,False,Main,Under_Maintenance,True
Rajdhani,Train_12043,12043,69,False,2025-09-11 10:07:00,2025-09-11 12:27:00,60,0.01,85,97,41,1339,70,70,False,STN_13,1,STN_13,3,2,False,False,Main,Free,True
Rajdhani,Train_21729,21729,114,True,2025-09-11 10:10:00,2025-09-11 13:46:00,66,11.25,35,96,47,1466,115,118,False,STN_3,6,STN_3,8,8,False,False,Main,Under_Maintenance,True
Express,Train_12534,12534,15,True,2025-09-11 10:40:00,2025-09-11 13:35:00,80,16.13,0,75,19,1914,16,20,False,STN_23,4,STN_23,7,1,True,False,Main,Under_Maintenance,False
Vande Bharat,Train_16632,16632,35,True,2025-09-11 10:17:00,2025-09-11 14:34:00,57,1.44,0,65,12,214,36,37,False,STN_35,1,STN_35,8,0,False,False,Main,Under_Maintenance,False
Vande Bharat,Train_13166,13166,64,True,2025-09-11 10:19:00,2025-09-11 13:33:00,60,14.83,47,48,3,1234,65,67,True,STN_22,12,STN_22,12,9,True,True,Yard,Under_Maintenance,False
Vande Bharat,Train_16334,16334,51,False,2025-09-11 10:10:00,2025-09-11 12:18:00,60,8.26,25,58,52,1915,52,55,True,STN_8,5,STN_8,6,2,False,False,Loop,Free,False
Passenger,Train_18965,18965,102,True,2025-09-11 10:07:00,2025-09-11 11:13:00,55,5.89,105,118,1,1953,103,104,True,STN_43,6,STN_43,12,5,False,False,Main,Under_Maintenance,True
Express,Train_22610,22610,126,False,2025-09-11 10:16:00,2025-09-11 13:49:00,73,10.78,0,50,55,1688,127,130,False,STN_13,3,STN_13,3,2,False,False,Yard,Under_Maintenance,False
Passenger,Train_14330,14330,142,False,2025-09-11 10:11:00,2025-09-11 10:23:00,69,0.92,19,68,10,1558,143,145,True,STN_38,2,STN_38,11,0,True,True,Main,Free,True
Superfast,Train_14718,14718,73,True,2025-09-11 10:22:00,2025-09-11 12:32:00,80,1.2,29,67,3,1830,74,75,False,STN_26,7,STN_26,7,1,True,False,Main,Under_Maintenance,True
Passenger,Train_19195,19195,147,True,2025-09-11 10:13:00,2025-09-11 12:53:00,75,13.24,0,133,41,1784,148,149,False,STN_39,6,STN_39,6,5,False,False,Loop,Free,False
Vande Bharat,Train_16982,16982,53,False,2025-09-11 10:35:00,2025-09-11 12:11:00,58,1.71,97,50,26,2173,54,58,False,STN_28,1,STN_28,11,10,False,True,Yard,Occupied,True
